"message_id","id","type","trx_type","amount","transaction_date","end_to_end_id","payer_identification","payer_mobile_no","payer_alias_name","payee_identification","payee_mobile_no","payee_alias_name","terminal_id","group_merch_id","consumer_id","filler","invoice_no","network_fee","interchange_fee","payee_bank","payer_bank","point_of_initiation_method","merchant_category_code","tip_or_convenience_indicator","tip_surcharge","country_code","merchant_name","merchant_city","state","reason","onus","additional_info"
ID:htmpca01-34525-1715232310910-1:5:248:1:2,WLTIBEA100KF65,CR,MT-P2P-AA,4.0000,2024-05-10,WLTIBEA100KF65,WLTI001M0096898098062,"0096898098062",VARS98098062@WLTI,WLTI001M0096896096050,"0096896096050",JAYA96096050@WLTI,,,,,,,,WLTI,WLTI,,,,,,Jaya####n  T,,ACSC,,true,
ID:htmpca01-34525-1715232310910-1:5:248:1:2,WLTIBEA000KFAA,CR,MT-P2P-AA,2.0000,2024-05-10,WLTIBEA000KFAA,WLTI001M0096899777777,"0096899777777",ALDO99777777@WLTI,WLTI001M0096894444444,"0096894444444",ENDR94444444@WLTI,,,,,,,,WLTI,WLTI,,,,,,muha######rhan,,ACSC,,true,
ID:htmpca01-34525-1715232310910-1:5:248:1:2,WLTIBEA800KFAI,CR,MT-P2P-AA,2.0000,2024-05-10,WLTIBEA800KFAI,WLTI001M0096899777777,"0096899777777",ALDO99777777@WLTI,WLTI001M0096894444444,"0096894444444",ENDR94444444@WLTI,,,,,,,,WLTI,WLTI,,,,,,muha######rhan,,ACSC,,true,
ID:htmpca01-34525-1715232310910-1:5:248:1:2,WLTIBEA100KFCT,CR,MT-P2P-AA,1.0000,2024-05-10,WLTIBEA100KFCT,WLTI001M0096899777777,"0096899777777",ALDO99777777@WLTI,WLTI001M0096894444444,"0096894444444",ENDR94444444@WLTI,,,,,,,,WLTI,WLTI,,,,,,muha######rhan,,ACSC,,true,
ID:htmpca01-34525-1715232310910-1:5:248:1:2,WLTIBEA000KFPK,CR,MT-P2P-AA,0.1000,2024-05-10,WLTIBEA000KFPK,WLTI001M0096890050211,"0096890050211",TEST90050211@WLTI,WLTI001M0096890050201,"0096890050201",CRAWLER@WLTI,,,,,,,,WLTI,WLTI,,,,,,Nigh######wler,,ACSC,,true,
ID:htmpca01-34525-1715232310910-1:5:248:1:2,WLTIBEA400KGIU,CR,MT-P2P-AA,2.0000,2024-05-10,WLTIBEA400KGIU,WLTI001M0096899777777,"0096899777777",ALDO99777777@WLTI,WLTI001M0096894444444,"0096894444444",ENDR94444444@WLTI,,,,,,,,WLTI,WLTI,,,,,,muha######rhan,,ACSC,,true,
ID:htmpca01-34525-1715232310910-1:5:248:1:2,WLTIBEA100KFB5,CR,MT-P2P-AA,2.0000,2024-05-10,WLTIBEA100KFB5,WLTI001M0096899777777,"0096899777777",ALDO99777777@WLTI,WLTI001M0096894444444,"0096894444444",ENDR94444444@WLTI,,,,,,,,WLTI,WLTI,,,,,,muha######rhan,,ACSC,,true,
ID:htmpca01-34525-1715232310910-1:5:248:1:2,WLTIBEA100KFC9,CR,MT-P2P-AA,1.0000,2024-05-10,WLTIBEA100KFC9,WLTI001M0096890060078,"0096890060078",YURI90060078@WLTI,WLTI001M0096890060079,"0096890060079",YURI90060079@WLTI,,,,,,,,WLTI,WLTI,,,,,,Yuri#####vlyk,,ACSC,,true,
ID:htmpca01-34525-1715232310910-1:5:248:1:2,WLTIBEA900KGAX,CR,MT-P2P-AA,11.0000,2024-05-10,WLTIBEA900KGAX,WLTI001M0096890000250,"0096890000250",KARI90000250@WLTI,WLTI001M0096891002030,"0096891002030",KARI91002030@WLTI,,,,,,,,WLTI,WLTI,,,,,,Kari##########ting,,ACSC,,true,
ID:htmpca01-34525-1715232310910-1:5:248:1:2,WLTIBEA700KFJ3,DB,MT-P2P-AA,3.0000,2024-05-10,WLTIBEA700KFJ3,WLTI001M0096892304202,"0096892304202",HOME92304202@WLTI,WLTI001M0096890404202,"0096890404202",FRANKIE@WLTI,,,,,,,,WLTI,WLTI,,,,,,HOME#######PSON,,RJCT,1105,true,Reply timeout reached
ID:htmpca01-34525-1715232310910-1:8:86:1:1,WLTIBE9000KAHI,CR,MT-P2P-AA,3.0000,2024-05-09,WLTIBE9000KAHI,WLTI001M0096890123459,"0096890123459",LUKA90123459@WLTI,WLTI001M0096890797979,"0096890797979",VASI90797979@WLTI,,,,,,,,WLTI,WLTI,,,,,,Vasi########asik,,ACSC,,true,
ID:htmpca01-34525-1715232310910-1:8:86:1:1,OPAY540972739926,CR,MT-P2P-AA,1.8000,2024-05-09,OPAY540972739926,OPAY001M0096896034319,"0096896034319",HILAL66@OPAY,WLTI001M0096894000941,"0096894000941",JOHN94000941@WLTI,,,,,,,,WLTI,OPAY,,,"0 ",0.0000,,,,ACSC,,false,
ID:htmpca01-34525-1715232310910-1:8:86:1:1,WLTIBE9300KAZX,CR,MT-P2P-AA,1.0000,2024-05-09,WLTIBE9300KAZX,WLTI001M0096890090201,"0096890090201",JANX90090201@WLTI,WLTI001M0096890050211,"0096890050211",TEST90050211@WLTI,,,,,,,,WLTI,WLTI,,,,,,Test########load,,ACSC,,true,
ID:htmpca01-34525-1715232310910-1:8:86:1:1,WLTIBE9100KC77,CR,MT-P2P-AA,1.0000,2024-05-09,WLTIBE9100KC77,WLTI001M0096894000919,"0096894000919",JOHN94000919@WLTI,WLTI001M0096894000921,"0096894000921",JOHN94000921@WLTI,,,,,,,,WLTI,WLTI,,,,,,John###### Doe,,ACSC,,true,
ID:htmpca01-34525-1715232310910-1:8:86:1:1,WLTIBE9000KCAI,CR,MT-P2B-AA,0.9900,2024-05-09,"20240312135856",WLTI001M0096894000941,"0096894000941",JOHN94000941@WLTI,OPAY001C18000000000000289,"18000000000000289",,,,,,,,,OPAY,WLTI,,,,,,Carrefour super makt,MUSCAT   GHUBRA,ACSC,,false,
